aperiodic_cmps_1,aperiodic_cmps_2,peak_freqs_1,peak_freqs_2,peak_freqs_3,GOF,EOF,ROI_2,SubjName
-20.5029260418308,0.572175203811599,7.37123500196931,8.77609943522474,10.5354032189868,0.965331286719395,0.0468468799966775,15,sub-cdf001
-20.1661509145401,0.625308539758998,6.36980483729148,10.4251981592471,17.0821552087869,0.971175188967495,0.0519038013716818,16,sub-cdf001
-20.3254098505679,0.728544792208845,10.3204432511762,19.0358202691333,21.3529415860157,0.966481720547318,0.0475887444808383,17,sub-cdf001
-20.7618257975476,0.631191331023885,9.0952738074015,17.9664270654509,19.6360765493946,0.968718687025507,0.0437849414091841,18,sub-cdf001
-20.423420328824,0.710148155360488,8.06792758468459,10.5317359055269,13.3484144828334,0.963974487619642,0.0419347978890028,19,sub-cdf001
-20.4055374855409,0.643565938574798,10.5092302455626,12.9542744201068,20.8169996546733,0.969949623669725,0.0581389504825904,20,sub-cdf001
-20.0593967528579,0.707841696313705,10.8096130727164,15.4929229491329,20.082108437601,0.968098497674038,0.050609511214839,21,sub-cdf001
-20.1728932659875,0.645014277372489,5.40928891723914,9.84916294749556,11.1147664118949,0.983088730972352,0.0378095901940122,22,sub-cdf001
-20.8388140631571,0.446652807451958,8.23952528538299,10.9288623899509,17.0038243404973,0.972765526800915,0.0462557208104869,23,sub-cdf001
-20.152700029808,0.792571947837401,10.2657755925046,13.4520201426234,20.7772142602773,0.975374411609237,0.0615040958971432,24,sub-cdf001
-20.215056191945,0.761670194076034,5.78071056925555,9.4959818216551,10.9686025403567,0.975668013776049,0.0371917287548241,25,sub-cdf001
-20.104277472463,0.705520150507426,7.49916284986081,10.8922529423551,16.7265509697897,0.972392438610704,0.0364578575998913,26,sub-cdf001
-20.2058842937427,0.804811868288275,10.0096020560544,14.9316362479068,18.1501963802495,0.972700007911776,0.0367032099469701,27,sub-cdf001
-20.0566554555605,0.887374832282994,10.5732703914622,16.0515449269855,21.7526819981254,0.977764259930473,0.0486245355148151,28,sub-cdf001
-20.0626719335938,0.828995456827957,10.0613829610952,14.4010400868282,17.5080985249665,0.976280926491057,0.0505865681558828,29,sub-cdf001
-19.8516805567383,0.863485555219524,10.3457558084194,14.5120960348362,18.3837174267033,0.963566475755135,0.0583200921985712,30,sub-cdf001
-20.7213760899304,0.605040197722117,5.76873707870309,8.94381601933783,13.4251965490763,0.965911142321309,0.0328176851628568,31,sub-cdf001
-20.2701228020734,0.757439178444126,7.40863742646366,10.4191246669046,19.1420139212039,0.967234341074268,0.0470250965730965,32,sub-cdf001
-19.7898533361114,0.939273117302865,7.33477824454221,10.3887128482765,13.7119435043119,0.98829122947818,0.0387677720514493,33,sub-cdf001
-20.7024288855008,0.517861846018579,7.23988610245036,10.1919689127893,11.3021512335618,0.975484856063846,0.0345286101311406,34,sub-cdf001
-20.9020214315013,0.66097164660081,8.3759382131527,9.8149360457458,10.9629265679669,0.981754317174301,0.0396998036075568,35,sub-cdf001
-20.3394418306246,0.870523332958641,10.4915047830261,14.1798158599737,17.5306180201519,0.975500201441688,0.0518764273676272,36,sub-cdf001
-20.6226919640828,0.780228446888521,10.2421355053226,18.1292551443923,NaN,0.97396275707403,0.0588523506056455,37,sub-cdf001
-20.9937730160572,0.538105049067671,10.3820993761536,14.9395337745182,18.5205240124933,0.969628239951627,0.0678542778018824,38,sub-cdf001
-20.2564437276721,0.743852776206786,9.41295663156332,17.1723750962377,19.2455845282106,0.967434374767004,0.0398477094753454,39,sub-cdf001
-20.333323738513,0.726719203231259,10.5295391447859,14.9452030469045,20.8279098345729,0.963368220040622,0.0693349595497895,40,sub-cdf001
-20.2244835019427,0.967616022377039,9.81652579462525,15.9684889149707,20.1053753551164,0.981490225020296,0.0454455783999378,41,sub-cdf001
-19.8207686697657,0.781307834238141,8.72255956797297,11.009202277798,14.3603621090132,0.985532453135077,0.0427464312320955,42,sub-cdf001
-20.0401564491091,0.893294444266193,10.5311550576394,19.3948779786601,NaN,0.967006013599691,0.0547529337541614,43,sub-cdf001
-20.0792221244419,0.709130255450434,8.09916664246886,10.8469060470709,13.6092026173158,0.9715577630425,0.0432296289764705,44,sub-cdf001
-19.6893313467983,0.860218201871286,7.63601751715797,10.7678733435262,14.5725877945123,0.968449181157081,0.056652688984681,45,sub-cdf001
-19.8952512959118,0.939925870316356,10.4866514390605,19.9354860971374,NaN,0.967531270886722,0.0578235950386856,46,sub-cdf001
-20.4990067121622,0.691715560894052,10.6151178675312,13.3626034114586,15.1580941856217,0.982159935366305,0.0519355583667998,47,sub-cdf001
-20.2443827588567,0.773956400328866,7.08653800144522,10.6375658842046,13.4898612977082,0.979102752603786,0.0295131591653317,48,sub-cdf001
-20.6161314336496,0.573166762464182,9.77974421145208,14.0021228253307,16.7382734561811,0.951129908277195,0.0336865277077384,49,sub-cdf001
-20.4275900609881,0.659660984375802,9.94799606454734,10.9677524686517,21.6833496803391,0.935934831376203,0.0660358201942242,50,sub-cdf001
-20.023623399737,0.702993013190348,10.5685236492147,NaN,NaN,0.907035987262861,0.0828048099630445,51,sub-cdf001
-20.2029278222767,0.444981908514524,10.3124735895215,11.0912132735183,18.8963324607629,0.959240426387139,0.056820290678438,52,sub-cdf001
-20.2290152580697,0.805686924984784,10.5749447607284,16.7983362795049,21.9869839114111,0.983450129388249,0.0510018242047653,53,sub-cdf001
-20.9723607820533,0.726272771272166,8.14650554726029,10.3773455794735,15.0584018468356,0.984746913088756,0.0452450051125063,54,sub-cdf001
-20.2499435024522,0.901591104353086,9.85300017762681,13.5343024149685,15.9155345175277,0.979998255461013,0.0450489166266879,55,sub-cdf001
-20.3458734867985,0.894835597342497,10.5871394722366,14.450684192873,15.9914601215671,0.983678242501631,0.0443408802752114,56,sub-cdf001
-20.4326165997914,0.652486065337211,7,10.24154333314,17.9608282805052,0.954255553094701,0.0535514005477853,57,sub-cdf001
-20.0959608577696,0.853845827492036,10.0529783230524,10.916386781692,13.5645488255047,0.97912430230656,0.0490883033155051,58,sub-cdf001
-20.1744627799487,0.530716471908988,10.1898262304831,10.9498506729993,21.307770520396,0.933444078467706,0.0812733165549423,59,sub-cdf001
-20.2194627847545,0.707514205109621,5.19262878282415,9.764646460942,11.0158220277326,0.978620270495639,0.0385382132266081,60,sub-cdf001
-20.9206535647273,0.374202885477442,10.4854505489487,13.9476024032439,15.7956628648801,0.96142935837821,0.0662535841479703,61,sub-cdf001
-19.9401446539466,0.720452318855912,7.16011292845238,8.41621086990994,10.4637110256747,0.98177098564612,0.0438723172574245,62,sub-cdf001
-20.3913435850412,0.608105313289708,7.21247220495372,8.69004925362069,10.5808582702718,0.979129701073412,0.0526000078264907,63,sub-cdf001
-20.4666082843663,0.794504943093866,8.15329070544461,10.4078810760164,14.4681688110312,0.984718548677831,0.0467177715225654,64,sub-cdf001
-20.2563761298226,0.843663979843725,8.31976106520529,10.494341329488,12.8273298455557,0.985835765105354,0.0352591067059875,65,sub-cdf001
-20.3822727209183,0.624670004291422,10.4074598208171,15.8573244276603,20.8952818465944,0.965589659985243,0.0549958688824888,66,sub-cdf001
